"arc_length"	"U_X"
75.7	9.94783e-05
75.8	9.94783e-05
75.9	9.94783e-05
76	9.94783e-05
76.1	9.95009e-05
76.2	9.95009e-05
76.3	9.95009e-05
76.4	9.95009e-05
76.5	9.95009e-05
76.6	9.95009e-05
76.7	9.95009e-05
76.8	9.95009e-05
76.9	9.95009e-05
77	9.95009e-05
77.1	9.95236e-05
77.2	9.95236e-05
77.3	9.95236e-05
77.4	9.95236e-05
77.5	9.95236e-05
77.6	9.95236e-05
77.7	9.95236e-05
77.8	9.95236e-05
77.9	9.95236e-05
78	9.95236e-05
78.1	9.95463e-05
78.2	9.95463e-05
78.3	9.95463e-05
78.4	9.95463e-05
78.5	9.95463e-05
78.6	9.95463e-05
78.7	9.95463e-05
78.8	9.95463e-05
78.9	9.95463e-05
79	9.95463e-05
79.1	9.9569e-05
79.2	9.9569e-05
79.3	9.9569e-05
79.4	9.9569e-05
79.5	9.9569e-05
79.6	9.9569e-05
79.7	9.9569e-05
79.8	9.9569e-05
79.9	9.9569e-05
80	9.9569e-05
80.1	9.95917e-05
80.2	9.95917e-05
80.3	9.95917e-05
80.4	9.95917e-05
80.5	9.95917e-05
80.6	9.95917e-05
80.7	9.95917e-05
80.8	9.95917e-05
80.9	9.95917e-05
81	9.95917e-05
81.1	9.96144e-05
81.2	9.96144e-05
81.3	9.96144e-05
81.4	9.96144e-05
81.5	9.96144e-05
81.6	9.96144e-05
81.7	9.96144e-05
81.8	9.96144e-05
81.9	9.96144e-05
82	9.96144e-05
82.1	9.9637e-05
82.2	9.9637e-05
82.3	9.9637e-05
82.4	9.9637e-05
82.5	9.9637e-05
82.6	9.9637e-05
82.7	9.9637e-05
82.8	9.9637e-05
82.9	9.9637e-05
83	9.9637e-05
83.1	9.96597e-05
83.2	9.96597e-05
83.3	9.96597e-05
83.4	9.96597e-05
83.5	9.96597e-05
83.6	9.96597e-05
83.7	9.96597e-05
83.8	9.96597e-05
83.9	9.96597e-05
84	9.96597e-05
84.1	9.96824e-05
84.2	9.96824e-05
84.3	9.96824e-05
84.4	9.96824e-05
84.5	9.96824e-05
84.6	9.96824e-05
84.7	9.96824e-05
84.8	9.96824e-05
84.9	9.96824e-05
85	9.96824e-05
85.1	9.97051e-05
85.2	9.97051e-05
85.3	9.97051e-05
85.4	9.97051e-05
85.5	9.97051e-05
85.6	9.97051e-05
85.7	9.97051e-05
85.8	9.97051e-05
85.9	9.97051e-05
86	9.97051e-05
86.1	9.97278e-05
86.2	9.97278e-05
86.3	9.97278e-05
86.4	9.97278e-05
86.5	9.97278e-05
86.6	9.97278e-05
86.7	9.97278e-05
86.8	9.97278e-05
86.9	9.97278e-05
87	9.97278e-05
87.1	9.97505e-05
87.2	9.97505e-05
87.3	9.97505e-05
87.4	9.97505e-05
87.5	9.97505e-05
87.6	9.97505e-05
87.7	9.97505e-05
87.8	9.97505e-05
87.9	9.97505e-05
88	9.97505e-05
88.1	9.97732e-05
88.2	9.97732e-05
88.3	9.97732e-05
88.4	9.97732e-05
88.5	9.97732e-05
88.6	9.97732e-05
88.7	9.97732e-05
88.8	9.97732e-05
88.9	9.97732e-05
89	9.97732e-05
89.1	9.97958e-05
89.2	9.97958e-05
89.3	9.97958e-05
89.4	9.97958e-05
89.5	9.97958e-05
89.6	9.97958e-05
89.7	9.97958e-05
89.8	9.97958e-05
89.9	9.97958e-05
90	9.97958e-05
90.1	9.98185e-05
90.2	9.98185e-05
90.3	9.98185e-05
90.4	9.98185e-05
90.5	9.98185e-05
90.6	9.98185e-05
90.7	9.98185e-05
90.8	9.98185e-05
90.9	9.98185e-05
91	9.98185e-05
91.1	9.98412e-05
