"arc_length"	"U_X","U_Magnitude"
80.58	3.45962e-05	4.69004e-05
80.75	3.45962e-05	4.69004e-05
80.92	3.45962e-05	4.69004e-05
81.09	3.47008e-05	4.70963e-05
81.26	3.47008e-05	4.70963e-05
81.43	3.47008e-05	4.70963e-05
81.6	3.47008e-05	4.70963e-05
81.77	3.47008e-05	4.70963e-05
81.94	3.47008e-05	4.70963e-05
82.11	3.47794e-05	4.72432e-05
82.28	3.47794e-05	4.72432e-05
82.45	3.47794e-05	4.72432e-05
82.62	3.47794e-05	4.72432e-05
82.79	3.47794e-05	4.72432e-05
82.96	3.47794e-05	4.72432e-05
83.13	3.48319e-05	4.73411e-05
83.3	3.48319e-05	4.73411e-05
83.47	3.48319e-05	4.73411e-05
83.64	3.48319e-05	4.73411e-05
83.81	3.48319e-05	4.73411e-05
83.98	3.48319e-05	4.73411e-05
84.15	3.48582e-05	4.73901e-05
84.32	3.48582e-05	4.73901e-05
84.49	3.48582e-05	4.73901e-05
84.66	3.48582e-05	4.73901e-05
84.83	3.48582e-05	4.73901e-05
85	3.48582e-05	4.73901e-05
85.17	3.48582e-05	4.73901e-05
85.34	3.48582e-05	4.73901e-05
85.51	3.48582e-05	4.73901e-05
85.68	3.48582e-05	4.73901e-05
85.85	3.48582e-05	4.73901e-05
86.02	3.48319e-05	4.73411e-05
86.19	3.48319e-05	4.73411e-05
86.36	3.48319e-05	4.73411e-05
86.53	3.48319e-05	4.73411e-05
86.7	3.48319e-05	4.73411e-05
86.87	3.48319e-05	4.73411e-05
87.04	3.47794e-05	4.72432e-05
87.21	3.47794e-05	4.72432e-05
87.38	3.47794e-05	4.72432e-05
87.55	3.47794e-05	4.72432e-05
87.72	3.47794e-05	4.72432e-05
87.89	3.47794e-05	4.72432e-05
88.06	3.47007e-05	4.70963e-05
88.23	3.47007e-05	4.70963e-05
88.4	3.47007e-05	4.70963e-05
88.57	3.47007e-05	4.70963e-05
88.74	3.47007e-05	4.70963e-05
88.91	3.47007e-05	4.70963e-05
89.08	3.45962e-05	4.69004e-05
89.25	3.45962e-05	4.69004e-05
89.42	3.45962e-05	4.69004e-05
89.59	3.45962e-05	4.69004e-05
89.76	3.45962e-05	4.69004e-05
89.93	3.45962e-05	4.69004e-05
90.1	3.4466e-05	4.66556e-05
90.27	3.4466e-05	4.66556e-05
90.44	3.4466e-05	4.66556e-05
90.61	3.4466e-05	4.66556e-05
90.78	3.4466e-05	4.66556e-05
90.95	3.4466e-05	4.66556e-05
91.12	3.43105e-05	4.63617e-05
91.29	3.43105e-05	4.63617e-05
91.46	3.43105e-05	4.63617e-05
91.63	3.43105e-05	4.63617e-05
91.8	3.43105e-05	4.63617e-05
91.97	3.43105e-05	4.63617e-05
92.14	3.41301e-05	4.6019e-05
92.31	3.41301e-05	4.6019e-05
92.48	3.41301e-05	4.6019e-05
92.65	3.41301e-05	4.6019e-05
92.82	3.41301e-05	4.6019e-05
92.99	3.41301e-05	4.6019e-05
93.16	3.39253e-05	4.56273e-05
93.33	3.39253e-05	4.56273e-05
93.5	3.39253e-05	4.56273e-05
93.67	3.39253e-05	4.56273e-05
93.84	3.39253e-05	4.56273e-05
94.01	3.36966e-05	4.51866e-05
94.18	3.36966e-05	4.51866e-05
94.35	3.36966e-05	4.51866e-05
94.52	3.36966e-05	4.51866e-05
94.69	3.36966e-05	4.51866e-05
94.86	3.36966e-05	4.51866e-05
95.03	3.34446e-05	4.46969e-05
95.2	3.34446e-05	4.46969e-05
95.37	3.34446e-05	4.46969e-05
95.54	3.34446e-05	4.46969e-05
95.71	3.34446e-05	4.46969e-05
95.88	3.34446e-05	4.46969e-05
96.05	3.31701e-05	4.41583e-05
96.22	3.31701e-05	4.41583e-05
96.39	3.31701e-05	4.41583e-05
96.56	3.31701e-05	4.41583e-05
96.73	3.31701e-05	4.41583e-05
96.9	3.31701e-05	4.41583e-05
97.07	3.28739e-05	4.35708e-05
97.24	3.28739e-05	4.35708e-05
97.41	3.28739e-05	4.35708e-05
97.58	3.28739e-05	4.35708e-05
97.75	3.28739e-05	4.35708e-05
97.92	3.28739e-05	4.35708e-05
98.09	3.25567e-05	4.29342e-05
98.26	3.25567e-05	4.29342e-05
98.43	3.25567e-05	4.29342e-05
98.6	3.25567e-05	4.29342e-05
98.77	3.25567e-05	4.29342e-05
98.94	3.25567e-05	4.29342e-05
99.11	3.22196e-05	4.22487e-05
99.28	3.22196e-05	4.22487e-05
99.45	3.22196e-05	4.22487e-05
99.62	3.22196e-05	4.22487e-05
99.79	3.22196e-05	4.22487e-05
99.96	3.22196e-05	4.22487e-05
100.13	3.18636e-05	4.15143e-05
100.3	3.18636e-05	4.15143e-05
100.47	3.18636e-05	4.15143e-05
100.64	3.18636e-05	4.15143e-05
100.81	3.18636e-05	4.15143e-05
