"arc_length"	"U_X","U_Magnitude"
60.06	0.000186125	0.000191194
60.17	0.000186125	0.000191194
60.28	0.000186125	0.000191194
60.39	0.000186125	0.000191194
60.5	0.000186125	0.000191194
60.61	0.000186125	0.000191194
60.72	0.000186125	0.000191194
60.83	0.000186125	0.000191194
60.94	0.000186125	0.000191194
61.05	0.000187452	0.000192596
61.16	0.000187452	0.000192596
61.27	0.000187452	0.000192596
61.38	0.000187452	0.000192596
61.49	0.000187452	0.000192596
61.6	0.000187452	0.000192596
61.71	0.000187452	0.000192596
61.82	0.000187452	0.000192596
61.93	0.000187452	0.000192596
62.04	0.000188555	0.000193764
62.15	0.000188555	0.000193764
62.26	0.000188555	0.000193764
62.37	0.000188555	0.000193764
62.48	0.000188555	0.000193764
62.59	0.000188555	0.000193764
62.7	0.000188555	0.000193764
62.81	0.000188555	0.000193764
62.92	0.000188555	0.000193764
63.03	0.000189431	0.000194699
63.14	0.000189431	0.000194699
63.25	0.000189431	0.000194699
63.36	0.000189431	0.000194699
63.47	0.000189431	0.000194699
63.58	0.000189431	0.000194699
63.69	0.000189431	0.000194699
63.8	0.000189431	0.000194699
63.91	0.000189431	0.000194699
64.02	0.000190083	0.0001954
64.13	0.000190083	0.0001954
64.24	0.000190083	0.0001954
64.35	0.000190083	0.0001954
64.46	0.000190083	0.0001954
64.57	0.000190083	0.0001954
64.68	0.000190083	0.0001954
64.79	0.000190083	0.0001954
64.9	0.000190083	0.0001954
65.01	0.000190508	0.000195868
65.12	0.000190508	0.000195868
65.23	0.000190508	0.000195868
65.34	0.000190508	0.000195868
65.45	0.000190508	0.000195868
65.56	0.000190508	0.000195868
65.67	0.000190508	0.000195868
65.78	0.000190508	0.000195868
65.89	0.000190508	0.000195868
66	0.000190508	0.000195868
66.11	0.000190707	0.000196103
66.22	0.000190707	0.000196103
66.33	0.000190707	0.000196103
66.44	0.000190707	0.000196103
66.55	0.000190707	0.000196103
66.66	0.000190707	0.000196103
66.77	0.000190707	0.000196103
66.88	0.000190707	0.000196103
66.99	0.000190707	0.000196103
67.1	0.00019068	0.000196105
67.21	0.00019068	0.000196105
67.32	0.00019068	0.000196105
67.43	0.00019068	0.000196105
67.54	0.00019068	0.000196105
67.65	0.00019068	0.000196105
67.76	0.00019068	0.000196105
67.87	0.00019068	0.000196105
67.98	0.00019068	0.000196105
68.09	0.000190426	0.000195873
68.2	0.000190426	0.000195873
68.31	0.000190426	0.000195873
68.42	0.000190426	0.000195873
68.53	0.000190426	0.000195873
68.64	0.000190426	0.000195873
68.75	0.000190426	0.000195873
68.86	0.000190426	0.000195873
68.97	0.000190426	0.000195873
69.08	0.000189946	0.000195408
69.19	0.000189946	0.000195408
69.3	0.000189946	0.000195408
69.41	0.000189946	0.000195408
69.52	0.000189946	0.000195408
69.63	0.000189946	0.000195408
69.74	0.000189946	0.000195408
69.85	0.000189946	0.000195408
69.96	0.000189946	0.000195408
70.07	0.000189239	0.000194709
70.18	0.000189239	0.000194709
70.29	0.000189239	0.000194709
70.4	0.000189239	0.000194709
70.51	0.000189239	0.000194709
70.62	0.000189239	0.000194709
70.73	0.000189239	0.000194709
70.84	0.000189239	0.000194709
70.95	0.000189239	0.000194709
71.06	0.000188305	0.000193778
71.17	0.000188305	0.000193778
71.28	0.000188305	0.000193778
71.39	0.000188305	0.000193778
71.5	0.000188305	0.000193778
71.61	0.000188305	0.000193778
71.72	0.000188305	0.000193778
71.83	0.000188305	0.000193778
71.94	0.000188305	0.000193778
72.05	0.000187145	0.000192612
72.16	0.000187145	0.000192612
72.27	0.000187145	0.000192612
72.38	0.000187145	0.000192612
72.49	0.000187145	0.000192612
72.6	0.000187145	0.000192612
