"arc_length"	"U_Magnitude_cm_Guo"
71	0.231717
71.1	0.23735
71.2	0.23735
71.3	0.23735
71.4	0.23735
71.5	0.23735
71.6	0.23735
71.7	0.23735
71.8	0.23735
71.9	0.23735
72	0.23735
72.1	0.241986
72.2	0.241986
72.3	0.241986
72.4	0.241986
72.5	0.241986
72.6	0.241986
72.7	0.241986
72.8	0.241986
72.9	0.241986
73	0.241986
73.1	0.245625
73.2	0.245625
73.3	0.245625
73.4	0.245625
73.5	0.245625
73.6	0.245625
73.7	0.245625
73.8	0.245625
73.9	0.245625
74	0.245625
74.1	0.248268
74.2	0.248268
74.3	0.248268
74.4	0.248268
74.5	0.248268
74.6	0.248268
74.7	0.248268
74.8	0.248268
74.9	0.248268
75	0.248268
75.1	0.249913
75.2	0.249913
75.3	0.249913
75.4	0.249913
75.5	0.249913
75.6	0.249913
75.7	0.249913
75.8	0.249913
75.9	0.249913
76	0.249913
76.1	0.250563
76.2	0.250563
76.3	0.250563
76.4	0.250563
76.5	0.250563
76.6	0.250563
76.7	0.250563
76.8	0.250563
76.9	0.250563
77	0.250563
77.1	0.250216
77.2	0.250216
77.3	0.250216
77.4	0.250216
77.5	0.250216
77.6	0.250216
77.7	0.250216
77.8	0.250216
77.9	0.250216
78	0.250216
78.1	0.248874
78.2	0.248874
78.3	0.248874
78.4	0.248874
78.5	0.248874
78.6	0.248874
78.7	0.248874
78.8	0.248874
78.9	0.248874
79	0.248874
79.1	0.246534
79.2	0.246534
79.3	0.246534
79.4	0.246534
79.5	0.246534
79.6	0.246534
79.7	0.246534
79.8	0.246534
79.9	0.246534
80	0.246534
80.1	0.243199
80.2	0.243199
80.3	0.243199
80.4	0.243199
80.5	0.243199
80.6	0.243199
80.7	0.243199
80.8	0.243199
80.9	0.243199
81	0.243199
81.1	0.238866
81.2	0.238866
81.3	0.238866
81.4	0.238866
81.5	0.238866
81.6	0.238866
81.7	0.238866
81.8	0.238866
81.9	0.238866
82	0.238866
82.1	0.233536
82.2	0.233536
82.3	0.233536
82.4	0.233536
82.5	0.233536
82.6	0.233536
82.7	0.233536
82.8	0.233536
82.9	0.233536
83	0.233536
83.1	0.227209
83.2	0.227209
83.3	0.227209
83.4	0.227209
83.5	0.227209
83.6	0.227209
83.7	0.227209
83.8	0.227209
83.9	0.227209
84	0.227209
84.1	0.219883
84.2	0.219883
84.3	0.219883
84.4	0.219883
84.5	0.219883
84.6	0.219883
84.7	0.219883
84.8	0.219883
84.9	0.219883
85	0.219883
85.1	0.211558
85.2	0.211558
85.3	0.211558
85.4	0.211558
85.5	0.211558
85.6	0.211558
85.7	0.211558
85.8	0.211558
85.9	0.211558
86	0.211558
86.1	0.202234
86.2	0.202234
86.3	0.202234
86.4	0.202234
86.5	0.202234
86.6	0.202234
86.7	0.202234
86.8	0.202234
86.9	0.202234
87	0.202234
87.1	0.191909
87.2	0.191909
87.3	0.191909
87.4	0.191909
87.5	0.191909
87.6	0.191909
87.7	0.191909
87.8	0.191909
87.9	0.191909
88	0.191909
88.1	0.180582
88.2	0.180582
88.3	0.180582
88.4	0.180582
88.5	0.180582
88.6	0.180582
88.7	0.180582
88.8	0.180582
88.9	0.180582
89	0.180582
89.1	0.168253
89.2	0.168253
89.3	0.168253
89.4	0.168253
89.5	0.168253
89.6	0.168253
89.7	0.168253
89.8	0.168253
89.9	0.168253
90	0.168253
90.1	0.154921
90.2	0.154921
90.3	0.154921
90.4	0.154921
90.5	0.154921
90.6	0.154921
90.7	0.154921
90.8	0.154921
90.9	0.154921
91	0.154921
91.1	0.140583
91.2	0.140583
91.3	0.140583
91.4	0.140583
91.5	0.140583
91.6	0.140583
91.7	0.140583
91.8	0.140583
91.9	0.140583
92	0.140583
92.1	0.12524
92.2	0.12524
92.3	0.12524
92.4	0.12524
92.5	0.12524
92.6	0.12524
92.7	0.12524
92.8	0.12524
92.9	0.12524
93	0.12524
93.1	0.108889
93.2	0.108889
93.3	0.108889
93.4	0.108889
93.5	0.108889
93.6	0.108889
93.7	0.108889
93.8	0.108889
93.9	0.108889
94	0.108889
94.1	0.0915292
94.2	0.0915292
94.3	0.0915292
94.4	0.0915292
94.5	0.0915292
94.6	0.0915292
94.7	0.0915292
94.8	0.0915292
94.9	0.0915292
95	0.0915292
95.1	0.0731587
95.2	0.0731587
95.3	0.0731587
95.4	0.0731587
95.5	0.0731587
95.6	0.0731587
95.7	0.0731587
95.8	0.0731587
95.9	0.0731587
96	0.0731587
96.1	0.053776
96.2	0.053776
96.3	0.053776
96.4	0.053776
96.5	0.053776
96.6	0.053776
96.7	0.053776
96.8	0.053776
96.9	0.053776
97	0.053776
97.1	0.0333793
97.2	0.0333793
97.3	0.0333793
97.4	0.0333793
97.5	0.0333793
97.6	0.0333793
97.7	0.0333793
97.8	0.0333793
97.9	0.0333793
98	0.0333793
