"arc_length"	"U_Magnitude_Guo"
68.7	0.0914375
68.8	0.0914375
68.9	0.0914375
69	0.0914375
69.1	0.0929766
69.2	0.0929766
69.3	0.0929766
69.4	0.0929766
69.5	0.0929766
69.6	0.0929766
69.7	0.0929766
69.8	0.0929766
69.9	0.0929766
70	0.0929766
70.1	0.0942088
70.2	0.0942088
70.3	0.0942088
70.4	0.0942088
70.5	0.0942088
70.6	0.0942088
70.7	0.0942088
70.8	0.0942088
70.9	0.0942088
71	0.0942088
71.1	0.0951341
71.2	0.0951341
71.3	0.0951341
71.4	0.0951341
71.5	0.0951341
71.6	0.0951341
71.7	0.0951341
71.8	0.0951341
71.9	0.0951341
72	0.0951341
72.1	0.0957524
72.2	0.0957524
72.3	0.0957524
72.4	0.0957524
72.5	0.0957524
72.6	0.0957524
72.7	0.0957524
72.8	0.0957524
72.9	0.0957524
73	0.0957524
73.1	0.0960639
73.2	0.0960639
73.3	0.0960639
73.4	0.0960639
73.5	0.0960639
73.6	0.0960639
73.7	0.0960639
73.8	0.0960639
73.9	0.0960639
74	0.0960639
74.1	0.0960685
74.2	0.0960685
74.3	0.0960685
74.4	0.0960685
74.5	0.0960685
74.6	0.0960685
74.7	0.0960685
74.8	0.0960685
74.9	0.0960685
75	0.0960685
75.1	0.0957661
75.2	0.0957661
75.3	0.0957661
75.4	0.0957661
75.5	0.0957661
75.6	0.0957661
75.7	0.0957661
75.8	0.0957661
75.9	0.0957661
76	0.0957661
76.1	0.0951569
76.2	0.0951569
76.3	0.0951569
76.4	0.0951569
76.5	0.0951569
76.6	0.0951569
76.7	0.0951569
76.8	0.0951569
76.9	0.0951569
77	0.0951569
77.1	0.0942407
77.2	0.0942407
77.3	0.0942407
77.4	0.0942407
77.5	0.0942407
77.6	0.0942407
77.7	0.0942407
77.8	0.0942407
77.9	0.0942407
78	0.0942407
78.1	0.0930176
78.2	0.0930176
78.3	0.0930176
78.4	0.0930176
78.5	0.0930176
78.6	0.0930176
78.7	0.0930176
78.8	0.0930176
78.9	0.0930176
79	0.0930176
79.1	0.0914876
79.2	0.0914876
79.3	0.0914876
79.4	0.0914876
79.5	0.0914876
79.6	0.0914876
79.7	0.0914876
79.8	0.0914876
79.9	0.0914876
80	0.0914876
80.1	0.0896506
80.2	0.0896506
80.3	0.0896506
80.4	0.0896506
80.5	0.0896506
80.6	0.0896506
80.7	0.0896506
80.8	0.0896506
80.9	0.0896506
81	0.0896506
81.1	0.0875067
81.2	0.0875067
81.3	0.0875067
81.4	0.0875067
81.5	0.0875067
81.6	0.0875067
81.7	0.0875067
81.8	0.0875067
81.9	0.0875067
82	0.0875067
82.1	0.0850558
82.2	0.0850558
82.3	0.0850558
82.4	0.0850558
82.5	0.0850558
82.6	0.0850558
82.7	0.0850558
82.8	0.0850558
82.9	0.0850558
83	0.0850558
83.1	0.0822979
83.2	0.0822979
83.3	0.0822979
83.4	0.0822979
83.5	0.0822979
83.6	0.0822979
83.7	0.0822979
83.8	0.0822979
83.9	0.0822979
84	0.0822979
84.1	0.079233
84.2	0.079233
84.3	0.079233
84.4	0.079233
84.5	0.079233
84.6	0.079233
84.7	0.079233
84.8	0.079233
84.9	0.079233
85	0.079233
85.1	0.0758611
85.2	0.0758611
85.3	0.0758611
85.4	0.0758611
85.5	0.0758611
85.6	0.0758611
85.7	0.0758611
85.8	0.0758611
85.9	0.0758611
86	0.0758611
86.1	0.072182
86.2	0.072182
86.3	0.072182
86.4	0.072182
86.5	0.072182
86.6	0.072182
86.7	0.072182
86.8	0.072182
86.9	0.072182
87	0.072182
87.1	0.0681959
87.2	0.0681959
87.3	0.0681959
87.4	0.0681959
87.5	0.0681959
87.6	0.0681959
87.7	0.0681959
87.8	0.0681959
87.9	0.0681959
88	0.0681959
88.1	0.0639026
88.2	0.0639026
88.3	0.0639026
88.4	0.0639026
88.5	0.0639026
88.6	0.0639026
88.7	0.0639026
88.8	0.0639026
88.9	0.0639026
89	0.0639026
89.1	0.0593021
89.2	0.0593021
89.3	0.0593021
89.4	0.0593021
89.5	0.0593021
89.6	0.0593021
89.7	0.0593021
89.8	0.0593021
89.9	0.0593021
90	0.0593021
90.1	0.0543945
90.2	0.0543945
90.3	0.0543945
90.4	0.0543945
90.5	0.0543945
