"arc_length"	"U_Magnitude_eq25"
167.68	2.32003e-05
167.936	2.32003e-05
168.192	2.0996e-05
168.448	2.0996e-05
168.704	2.0996e-05
168.96	2.0996e-05
169.216	1.27302e-05
169.472	1.27302e-05
169.728	1.27302e-05
169.984	1.27302e-05
170.24	6.06513e-06
170.496	6.06513e-06
170.752	6.06513e-06
171.008	1.09765e-05
171.264	1.09765e-05
171.52	1.09765e-05
171.776	1.09765e-05
172.032	1.43559e-05
172.288	1.43559e-05
172.544	1.43559e-05
172.8	1.43559e-05
173.056	1.35017e-05
173.312	1.35017e-05
173.568	1.35017e-05
173.824	1.35017e-05
174.08	1.00377e-05
174.336	1.00377e-05
174.592	1.00377e-05
174.848	1.00377e-05
175.104	5.8673e-06
175.36	5.8673e-06
175.616	5.8673e-06
175.872	5.8673e-06
176.128	2.3902e-06
176.384	2.3902e-06
176.64	2.3902e-06
176.896	2.3902e-06
177.152	8.90565e-07
177.408	8.90565e-07
177.664	8.90565e-07
177.92	8.90565e-07
178.176	1.34048e-06
178.432	1.34048e-06
178.688	1.34048e-06
178.944	1.34048e-06
179.2	1.19465e-06
179.456	1.19465e-06
179.712	1.19465e-06
179.968	1.19465e-06
180.224	6.06566e-07
180.48	6.06566e-07
180.736	6.06566e-07
180.992	6.06566e-07
181.248	7.82738e-07
181.504	7.82738e-07
181.76	7.82738e-07
182.016	1.509e-06
182.272	1.509e-06
182.528	1.509e-06
182.784	1.509e-06
183.04	2.02077e-06
183.296	2.02077e-06
183.552	2.02077e-06
183.808	2.02077e-06
184.064	2.21516e-06
184.32	2.21516e-06
184.576	2.21516e-06
184.832	2.21516e-06
185.088	2.1308e-06
185.344	2.1308e-06
185.6	2.1308e-06
185.856	2.1308e-06
186.112	1.86388e-06
186.368	1.86388e-06
186.624	1.86388e-06
186.88	1.86388e-06
187.136	1.52207e-06
187.392	1.52207e-06
187.648	1.52207e-06
187.904	1.52207e-06
188.16	1.19492e-06
188.416	1.19492e-06
188.672	1.19492e-06
188.928	1.19492e-06
189.184	9.38384e-07
189.44	9.38384e-07
189.696	9.38384e-07
189.952	9.38384e-07
190.208	7.73908e-07
190.464	7.73908e-07
190.72	7.73908e-07
190.976	7.73908e-07
191.232	6.94582e-07
191.488	6.94582e-07
191.744	6.94582e-07
192	6.94582e-07
192.256	6.76615e-07
192.512	6.76615e-07
192.768	6.76615e-07
193.024	6.91038e-07
193.28	6.91038e-07
193.536	6.91038e-07
193.792	6.91038e-07
194.048	7.13145e-07
194.304	7.13145e-07
194.56	7.13145e-07
194.816	7.13145e-07
195.072	7.25754e-07
195.328	7.25754e-07
195.584	7.25754e-07
195.84	7.25754e-07
196.096	7.20009e-07
196.352	7.20009e-07
196.608	7.20009e-07
196.864	7.20009e-07
197.12	6.93915e-07
197.376	6.93915e-07
197.632	6.93915e-07
197.888	6.93915e-07
198.144	6.50957e-07
198.4	6.50957e-07
198.656	6.50957e-07
198.912	6.50957e-07
199.168	5.97629e-07
199.424	5.97629e-07
199.68	5.97629e-07
199.936	5.97629e-07
200.192	5.41497e-07
200.448	5.41497e-07
200.704	5.41497e-07
200.96	5.41497e-07
201.216	4.88717e-07
201.472	4.88717e-07
201.728	4.88717e-07
201.984	4.88717e-07
202.24	4.42873e-07
202.496	4.42873e-07
202.752	4.42873e-07
203.008	4.04283e-07
203.264	4.04283e-07
203.52	4.04283e-07
203.776	4.04283e-07
204.032	3.71263e-07
204.288	3.71263e-07
204.544	3.71263e-07
204.8	3.71263e-07
205.056	3.41494e-07
205.312	3.41494e-07
205.568	3.41494e-07
205.824	3.41494e-07
206.08	3.13876e-07
206.336	3.13876e-07
206.592	3.13876e-07
206.848	3.13876e-07
207.104	2.88667e-07
207.36	2.88667e-07
207.616	2.88667e-07
207.872	2.88667e-07
208.128	2.67023e-07
208.384	2.67023e-07
208.64	2.67023e-07
208.896	2.67023e-07
209.152	2.49187e-07
209.408	2.49187e-07
209.664	2.49187e-07
209.92	2.49187e-07
210.176	2.33751e-07
210.432	2.33751e-07
210.688	2.33751e-07
210.944	2.33751e-07
211.2	2.17674e-07
211.456	2.17674e-07
211.712	2.17674e-07
211.968	2.17674e-07
212.224	1.98371e-07
212.48	1.98371e-07
212.736	1.98371e-07
212.992	1.98371e-07
213.248	1.75587e-07
213.504	1.75587e-07
213.76	1.75587e-07
214.016	1.52871e-07
214.272	1.52871e-07
214.528	1.52871e-07
214.784	1.52871e-07
215.04	1.36505e-07
215.296	1.36505e-07
215.552	1.36505e-07
215.808	1.36505e-07
216.064	1.32838e-07
216.32	1.32838e-07
216.576	1.32838e-07
216.832	1.32838e-07
217.088	1.43444e-07
217.344	1.43444e-07
217.6	1.43444e-07
217.856	1.43444e-07
218.112	1.62812e-07
218.368	1.62812e-07
218.624	1.62812e-07
218.88	1.62812e-07
219.136	1.80758e-07
219.392	1.80758e-07
219.648	1.80758e-07
219.904	1.80758e-07
220.16	1.88167e-07
220.416	1.88167e-07
220.672	1.88167e-07
220.928	1.88167e-07
221.184	1.81207e-07
221.44	1.81207e-07
221.696	1.81207e-07
221.952	1.81207e-07
222.208	1.62041e-07
222.464	1.62041e-07
222.72	1.62041e-07
222.976	1.62041e-07
223.232	1.35078e-07
223.488	1.35078e-07
223.744	1.35078e-07
224	1.35078e-07
224.256	1.05162e-07
224.512	1.05162e-07
224.768	1.05162e-07
225.024	8.03368e-08
225.28	8.03368e-08
225.536	8.03368e-08
225.792	8.03368e-08
226.048	7.21485e-08
226.304	7.21485e-08
226.56	7.21485e-08
226.816	7.21485e-08
227.072	8.10093e-08
227.328	8.10093e-08
227.584	8.10093e-08
227.84	8.10093e-08
228.096	9.33949e-08
228.352	9.33949e-08
228.608	9.33949e-08
228.864	9.33949e-08
229.12	1.00089e-07
229.376	1.00089e-07
229.632	1.00089e-07
229.888	1.00089e-07
230.144	9.93915e-08
230.4	9.93915e-08
230.656	9.93915e-08
230.912	9.93915e-08
231.168	9.14185e-08
231.424	9.14185e-08
231.68	9.14185e-08
231.936	9.14185e-08
232.192	7.70026e-08
232.448	7.70026e-08
232.704	7.70026e-08
232.96	7.70026e-08
233.216	5.86177e-08
233.472	5.86177e-08
233.728	5.86177e-08
233.984	5.86177e-08
234.24	4.00004e-08
234.496	4.00004e-08
234.752	4.00004e-08
235.008	2.46194e-08
235.264	2.46194e-08
235.52	2.46194e-08
235.776	2.46194e-08
236.032	1.50775e-08
236.288	1.50775e-08
236.544	1.50775e-08
236.8	1.50775e-08
237.056	1.30072e-08
237.312	1.30072e-08
237.568	1.30072e-08
237.824	1.30072e-08
238.08	1.76852e-08
238.336	1.76852e-08
238.592	1.76852e-08
238.848	1.76852e-08
239.104	2.54515e-08
239.36	2.54515e-08
239.616	2.54515e-08
239.872	2.54515e-08
240.128	3.24675e-08
240.384	3.24675e-08
240.64	3.24675e-08
240.896	3.24675e-08
241.152	3.52443e-08
241.408	3.52443e-08
241.664	3.52443e-08
241.92	3.52443e-08
242.176	3.17755e-08
242.432	3.17755e-08
242.688	3.17755e-08
242.944	3.17755e-08
243.2	2.23084e-08
243.456	2.23084e-08
243.712	2.23084e-08
243.968	2.23084e-08
244.224	1.04547e-08
244.48	1.04547e-08
244.736	1.04547e-08
244.992	1.04547e-08
245.248	1.12771e-08
245.504	1.12771e-08
245.76	1.12771e-08
246.016	2.092e-08
246.272	2.092e-08
246.528	2.092e-08
246.784	2.092e-08
247.04	2.59223e-08
247.296	2.59223e-08
247.552	2.59223e-08
247.808	2.59223e-08
248.064	2.45057e-08
248.32	2.45057e-08
248.576	2.45057e-08
248.832	2.45057e-08
249.088	1.82776e-08
249.344	1.82776e-08
249.6	1.82776e-08
249.856	1.82776e-08
250.112	1.0492e-08
250.368	1.0492e-08
250.624	1.0492e-08
250.88	1.0492e-08
251.136	4.20537e-09
251.392	4.20537e-09
251.648	4.20537e-09
251.904	4.20537e-09
252.16	8.75525e-10
252.416	8.75525e-10
252.672	8.75525e-10
252.928	8.75525e-10
253.184	2.32737e-10
253.44	2.32737e-10
253.696	2.32737e-10
253.952	2.32737e-10
254.208	1.04927e-10
254.464	1.04927e-10
254.72	1.04927e-10
254.976	1.04927e-10
255.232	0
255.488	0
255.744	0
256	0
