"arc_length"	"U_MagnitudeMRT"
210.176	7.41229e-09
210.432	7.41229e-09
210.688	7.41229e-09
210.944	7.41229e-09
211.2	7.074e-09
211.456	7.074e-09
211.712	7.074e-09
211.968	7.074e-09
212.224	6.74789e-09
212.48	6.74789e-09
212.736	6.74789e-09
212.992	6.74789e-09
213.248	6.43334e-09
213.504	6.43334e-09
213.76	6.43334e-09
214.016	6.12978e-09
214.272	6.12978e-09
214.528	6.12978e-09
214.784	6.12978e-09
215.04	5.83669e-09
215.296	5.83669e-09
215.552	5.83669e-09
215.808	5.83669e-09
216.064	5.55357e-09
216.32	5.55357e-09
216.576	5.55357e-09
216.832	5.55357e-09
217.088	5.27995e-09
217.344	5.27995e-09
217.6	5.27995e-09
217.856	5.27995e-09
218.112	5.01541e-09
218.368	5.01541e-09
218.624	5.01541e-09
218.88	5.01541e-09
219.136	4.75956e-09
219.392	4.75956e-09
219.648	4.75956e-09
219.904	4.75956e-09
220.16	4.51201e-09
220.416	4.51201e-09
220.672	4.51201e-09
220.928	4.51201e-09
221.184	4.27244e-09
221.44	4.27244e-09
221.696	4.27244e-09
221.952	4.27244e-09
222.208	4.04053e-09
222.464	4.04053e-09
222.72	4.04053e-09
222.976	4.04053e-09
223.232	3.81599e-09
223.488	3.81599e-09
223.744	3.81599e-09
224	3.81599e-09
224.256	3.59855e-09
224.512	3.59855e-09
224.768	3.59855e-09
225.024	3.38798e-09
225.28	3.38798e-09
225.536	3.38798e-09
225.792	3.38798e-09
226.048	3.18405e-09
226.304	3.18405e-09
226.56	3.18405e-09
226.816	3.18405e-09
227.072	2.98659e-09
227.328	2.98659e-09
227.584	2.98659e-09
227.84	2.98659e-09
228.096	2.7954e-09
228.352	2.7954e-09
228.608	2.7954e-09
228.864	2.7954e-09
229.12	2.61036e-09
229.376	2.61036e-09
229.632	2.61036e-09
229.888	2.61036e-09
230.144	2.43131e-09
230.4	2.43131e-09
230.656	2.43131e-09
230.912	2.43131e-09
231.168	2.25817e-09
231.424	2.25817e-09
231.68	2.25817e-09
231.936	2.25817e-09
232.192	2.09083e-09
232.448	2.09083e-09
232.704	2.09083e-09
232.96	2.09083e-09
233.216	1.92925e-09
233.472	1.92925e-09
233.728	1.92925e-09
233.984	1.92925e-09
234.24	1.77337e-09
234.496	1.77337e-09
234.752	1.77337e-09
235.008	1.62318e-09
235.264	1.62318e-09
235.52	1.62318e-09
235.776	1.62318e-09
236.032	1.47867e-09
236.288	1.47867e-09
236.544	1.47867e-09
236.8	1.47867e-09
237.056	1.33986e-09
237.312	1.33986e-09
237.568	1.33986e-09
237.824	1.33986e-09
238.08	1.20681e-09
238.336	1.20681e-09
238.592	1.20681e-09
238.848	1.20681e-09
239.104	1.07959e-09
239.36	1.07959e-09
239.616	1.07959e-09
239.872	1.07959e-09
240.128	9.58281e-10
240.384	9.58281e-10
240.64	9.58281e-10
240.896	9.58281e-10
241.152	8.43013e-10
241.408	8.43013e-10
241.664	8.43013e-10
241.92	8.43013e-10
242.176	7.33931e-10
242.432	7.33931e-10
242.688	7.33931e-10
242.944	7.33931e-10
243.2	6.31211e-10
243.456	6.31211e-10
243.712	6.31211e-10
243.968	6.31211e-10
244.224	5.35058e-10
244.48	5.35058e-10
244.736	5.35058e-10
244.992	5.35058e-10
245.248	4.45707e-10
245.504	4.45707e-10
245.76	4.45707e-10
246.016	3.63428e-10
246.272	3.63428e-10
246.528	3.63428e-10
246.784	3.63428e-10
247.04	2.88524e-10
247.296	2.88524e-10
247.552	2.88524e-10
247.808	2.88524e-10
248.064	2.21336e-10
248.32	2.21336e-10
248.576	2.21336e-10
248.832	2.21336e-10
249.088	1.62244e-10
249.344	1.62244e-10
249.6	1.62244e-10
249.856	1.62244e-10
250.112	1.1167e-10
250.368	1.1167e-10
250.624	1.1167e-10
250.88	1.1167e-10
251.136	7.00745e-11
251.392	7.00745e-11
251.648	7.00745e-11
251.904	7.00745e-11
252.16	3.79535e-11
252.416	3.79535e-11
252.672	3.79535e-11
252.928	3.79535e-11
253.184	1.57791e-11
253.44	1.57791e-11
253.696	1.57791e-11
253.952	1.57791e-11
254.208	3.50351e-12
254.464	3.50351e-12
254.72	3.50351e-12
254.976	3.50351e-12
255.232	0
255.488	0
255.744	0
256	0
