"arc_length"	"U_Magnitude_eq25","U_MagnitudeMRT"
91.136	4.08174e-06	5.85401e-08
91.392	4.08174e-06	5.85401e-08
91.648	4.08174e-06	5.85401e-08
91.904	4.08174e-06	5.85401e-08
92.16	6.91792e-06	6.02248e-08
92.416	6.91792e-06	6.02248e-08
92.672	6.91792e-06	6.02248e-08
92.928	6.91792e-06	6.02248e-08
93.184	8.15658e-06	6.15631e-08
93.44	8.15658e-06	6.15631e-08
93.696	8.15658e-06	6.15631e-08
93.952	8.15658e-06	6.15631e-08
94.208	6.96328e-06	6.23493e-08
94.464	6.96328e-06	6.23493e-08
94.72	6.96328e-06	6.23493e-08
94.976	6.96328e-06	6.23493e-08
95.232	4.59816e-06	6.21165e-08
95.488	4.59816e-06	6.21165e-08
95.744	4.59816e-06	6.21165e-08
96	4.59816e-06	6.21165e-08
96.256	2.14888e-06	5.99904e-08
96.512	2.14888e-06	5.99904e-08
96.768	2.14888e-06	5.99904e-08
97.024	9.53888e-07	5.6148e-08
97.28	9.53888e-07	5.6148e-08
97.536	9.53888e-07	5.6148e-08
97.792	9.53888e-07	5.6148e-08
98.048	1.53876e-06	5.50079e-08
98.304	1.53876e-06	5.50079e-08
98.56	1.53876e-06	5.50079e-08
98.816	1.53876e-06	5.50079e-08
99.072	1.57659e-06	5.83934e-08
99.328	1.57659e-06	5.83934e-08
99.584	1.57659e-06	5.83934e-08
99.84	1.57659e-06	5.83934e-08
100.096	1.54988e-06	6.0494e-08
100.352	1.54988e-06	6.0494e-08
100.608	1.54988e-06	6.0494e-08
100.864	1.54988e-06	6.0494e-08
101.12	2.04265e-06	5.88259e-08
101.376	2.04265e-06	5.88259e-08
101.632	2.04265e-06	5.88259e-08
101.888	2.04265e-06	5.88259e-08
102.144	2.24808e-06	5.72897e-08
102.4	2.24808e-06	5.72897e-08
102.656	2.24808e-06	5.72897e-08
102.912	2.24808e-06	5.72897e-08
103.168	1.71083e-06	5.53306e-08
103.424	1.71083e-06	5.53306e-08
103.68	1.71083e-06	5.53306e-08
103.936	1.71083e-06	5.53306e-08
104.192	8.3133e-07	5.23614e-08
104.448	8.3133e-07	5.23614e-08
104.704	8.3133e-07	5.23614e-08
104.96	8.3133e-07	5.23614e-08
105.216	1.4645e-06	4.88863e-08
105.472	1.4645e-06	4.88863e-08
105.728	1.4645e-06	4.88863e-08
105.984	1.4645e-06	4.88863e-08
106.24	2.80131e-06	4.51166e-08
106.496	2.80131e-06	4.51166e-08
106.752	2.80131e-06	4.51166e-08
107.008	3.89568e-06	4.11558e-08
107.264	3.89568e-06	4.11558e-08
107.52	3.89568e-06	4.11558e-08
107.776	3.89568e-06	4.11558e-08
108.032	4.54575e-06	3.71016e-08
108.288	4.54575e-06	3.71016e-08
108.544	4.54575e-06	3.71016e-08
108.8	4.54575e-06	3.71016e-08
109.056	4.70542e-06	3.3045e-08
109.312	4.70542e-06	3.3045e-08
109.568	4.70542e-06	3.3045e-08
109.824	4.70542e-06	3.3045e-08
110.08	4.42951e-06	2.90653e-08
110.336	4.42951e-06	2.90653e-08
110.592	4.42951e-06	2.90653e-08
110.848	4.42951e-06	2.90653e-08
111.104	3.84295e-06	2.52294e-08
111.36	3.84295e-06	2.52294e-08
111.616	3.84295e-06	2.52294e-08
111.872	3.84295e-06	2.52294e-08
112.128	3.09974e-06	2.15926e-08
112.384	3.09974e-06	2.15926e-08
112.64	3.09974e-06	2.15926e-08
112.896	3.09974e-06	2.15926e-08
113.152	2.3389e-06	1.81987e-08
113.408	2.3389e-06	1.81987e-08
113.664	2.3389e-06	1.81987e-08
113.92	2.3389e-06	1.81987e-08
114.176	1.65522e-06	1.50811e-08
114.432	1.65522e-06	1.50811e-08
114.688	1.65522e-06	1.50811e-08
114.944	1.65522e-06	1.50811e-08
115.2	1.10663e-06	1.22636e-08
115.456	1.10663e-06	1.22636e-08
115.712	1.10663e-06	1.22636e-08
115.968	1.10663e-06	1.22636e-08
116.224	7.04777e-07	9.76047e-09
116.48	7.04777e-07	9.76047e-09
116.736	7.04777e-07	9.76047e-09
116.992	7.04777e-07	9.76047e-09
117.248	4.25735e-07	7.57786e-09
117.504	4.25735e-07	7.57786e-09
117.76	4.25735e-07	7.57786e-09
118.016	2.36425e-07	5.71395e-09
118.272	2.36425e-07	5.71395e-09
118.528	2.36425e-07	5.71395e-09
118.784	2.36425e-07	5.71395e-09
119.04	1.15997e-07	4.15986e-09
119.296	1.15997e-07	4.15986e-09
119.552	1.15997e-07	4.15986e-09
119.808	1.15997e-07	4.15986e-09
120.064	3.83979e-08	2.90026e-09
120.32	3.83979e-08	2.90026e-09
120.576	3.83979e-08	2.90026e-09
120.832	3.83979e-08	2.90026e-09
121.088	2.03427e-08	1.91406e-09
121.344	2.03427e-08	1.91406e-09
121.6	2.03427e-08	1.91406e-09
121.856	2.03427e-08	1.91406e-09
122.112	3.16537e-08	1.1751e-09
122.368	3.16537e-08	1.1751e-09
122.624	3.16537e-08	1.1751e-09
122.88	3.16537e-08	1.1751e-09
123.136	2.99645e-08	6.52795e-10
123.392	2.99645e-08	6.52795e-10
123.648	2.99645e-08	6.52795e-10
123.904	2.99645e-08	6.52795e-10
124.16	2.02516e-08	3.12845e-10
124.416	2.02516e-08	3.12845e-10
124.672	2.02516e-08	3.12845e-10
124.928	2.02516e-08	3.12845e-10
125.184	9.94218e-09	1.17891e-10
125.44	9.94218e-09	1.17891e-10
125.696	9.94218e-09	1.17891e-10
125.952	9.94218e-09	1.17891e-10
126.208	2.85784e-09	2.82219e-11
126.464	2.85784e-09	2.82219e-11
126.72	2.85784e-09	2.82219e-11
126.976	2.85784e-09	2.82219e-11
127.232	3.34206e-10	2.52751e-12
127.488	3.34206e-10	2.52751e-12
127.744	3.34206e-10	2.52751e-12
128	3.34206e-10	2.52751e-12
128.256	3.34207e-10	2.52754e-12
128.512	3.34207e-10	2.52754e-12
128.768	3.34207e-10	2.52754e-12
129.024	2.85784e-09	2.82219e-11
129.28	2.85784e-09	2.82219e-11
129.536	2.85784e-09	2.82219e-11
129.792	2.85784e-09	2.82219e-11
130.048	9.94218e-09	1.17891e-10
130.304	9.94218e-09	1.17891e-10
130.56	9.94218e-09	1.17891e-10
130.816	9.94218e-09	1.17891e-10
131.072	2.02516e-08	3.12845e-10
131.328	2.02516e-08	3.12845e-10
131.584	2.02516e-08	3.12845e-10
131.84	2.02516e-08	3.12845e-10
132.096	2.99645e-08	6.52795e-10
132.352	2.99645e-08	6.52795e-10
132.608	2.99645e-08	6.52795e-10
132.864	2.99645e-08	6.52795e-10
133.12	3.16537e-08	1.1751e-09
133.376	3.16537e-08	1.1751e-09
133.632	3.16537e-08	1.1751e-09
133.888	3.16537e-08	1.1751e-09
134.144	2.03427e-08	1.91406e-09
134.4	2.03427e-08	1.91406e-09
134.656	2.03427e-08	1.91406e-09
134.912	2.03427e-08	1.91406e-09
135.168	3.83979e-08	2.90026e-09
