"arc_length"	"U_Magnitude_mrt"
73.5	0.096064
73.6	0.096064
73.7	0.096064
73.8	0.096064
73.9	0.096064
74	0.096064
74.1	0.0960685
74.2	0.0960685
74.3	0.0960685
74.4	0.0960685
74.5	0.0960685
74.6	0.0960685
74.7	0.0960685
74.8	0.0960685
74.9	0.0960685
75	0.0960685
75.1	0.0957661
75.2	0.0957661
75.3	0.0957661
75.4	0.0957661
75.5	0.0957661
75.6	0.0957661
75.7	0.0957661
75.8	0.0957661
75.9	0.0957661
76	0.0957661
76.1	0.0951565
76.2	0.0951565
76.3	0.0951565
76.4	0.0951565
76.5	0.0951565
76.6	0.0951565
76.7	0.0951565
76.8	0.0951565
76.9	0.0951565
77	0.0951565
77.1	0.09424
77.2	0.09424
77.3	0.09424
77.4	0.09424
77.5	0.09424
77.6	0.09424
77.7	0.09424
77.8	0.09424
77.9	0.09424
78	0.09424
78.1	0.0930164
78.2	0.0930164
78.3	0.0930164
78.4	0.0930164
78.5	0.0930164
78.6	0.0930164
78.7	0.0930164
78.8	0.0930164
78.9	0.0930164
79	0.0930164
79.1	0.0914857
79.2	0.0914857
79.3	0.0914857
79.4	0.0914857
79.5	0.0914857
79.6	0.0914857
79.7	0.0914857
79.8	0.0914857
79.9	0.0914857
80	0.0914857
80.1	0.0896481
80.2	0.0896481
80.3	0.0896481
80.4	0.0896481
80.5	0.0896481
80.6	0.0896481
80.7	0.0896481
80.8	0.0896481
80.9	0.0896481
81	0.0896481
81.1	0.0875033
81.2	0.0875033
81.3	0.0875033
81.4	0.0875033
81.5	0.0875033
81.6	0.0875033
81.7	0.0875033
81.8	0.0875033
81.9	0.0875033
82	0.0875033
82.1	0.0850516
82.2	0.0850516
82.3	0.0850516
82.4	0.0850516
82.5	0.0850516
82.6	0.0850516
82.7	0.0850516
82.8	0.0850516
82.9	0.0850516
83	0.0850516
83.1	0.0822928
83.2	0.0822928
83.3	0.0822928
83.4	0.0822928
83.5	0.0822928
83.6	0.0822928
83.7	0.0822928
83.8	0.0822928
83.9	0.0822928
84	0.0822928
84.1	0.0792269
84.2	0.0792269
84.3	0.0792269
84.4	0.0792269
84.5	0.0792269
84.6	0.0792269
84.7	0.0792269
84.8	0.0792269
84.9	0.0792269
85	0.0792269
85.1	0.0758541
85.2	0.0758541
85.3	0.0758541
85.4	0.0758541
85.5	0.0758541
85.6	0.0758541
85.7	0.0758541
85.8	0.0758541
85.9	0.0758541
86	0.0758541
86.1	0.0721741
86.2	0.0721741
86.3	0.0721741
86.4	0.0721741
86.5	0.0721741
86.6	0.0721741
86.7	0.0721741
86.8	0.0721741
86.9	0.0721741
87	0.0721741
87.1	0.0681872
87.2	0.0681872
87.3	0.0681872
87.4	0.0681872
87.5	0.0681872
87.6	0.0681872
87.7	0.0681872
87.8	0.0681872
87.9	0.0681872
88	0.0681872
88.1	0.0638932
88.2	0.0638932
88.3	0.0638932
88.4	0.0638932
88.5	0.0638932
88.6	0.0638932
88.7	0.0638932
88.8	0.0638932
88.9	0.0638932
89	0.0638932
89.1	0.0592921
89.2	0.0592921
89.3	0.0592921
89.4	0.0592921
89.5	0.0592921
89.6	0.0592921
89.7	0.0592921
89.8	0.0592921
89.9	0.0592921
90	0.0592921
90.1	0.0543841
90.2	0.0543841
90.3	0.0543841
90.4	0.0543841
90.5	0.0543841
90.6	0.0543841
90.7	0.0543841
90.8	0.0543841
90.9	0.0543841
91	0.0543841
91.1	0.0491689
91.2	0.0491689
91.3	0.0491689
91.4	0.0491689
91.5	0.0491689
91.6	0.0491689
91.7	0.0491689
91.8	0.0491689
91.9	0.0491689
92	0.0491689
92.1	0.0436468
92.2	0.0436468
92.3	0.0436468
92.4	0.0436468
92.5	0.0436468
92.6	0.0436468
92.7	0.0436468
92.8	0.0436468
92.9	0.0436468
93	0.0436468
93.1	0.0378176
93.2	0.0378176
93.3	0.0378176
93.4	0.0378176
93.5	0.0378176
93.6	0.0378176
93.7	0.0378176
93.8	0.0378176
93.9	0.0378176
94	0.0378176
94.1	0.0316814
94.2	0.0316814
94.3	0.0316814
94.4	0.0316814
94.5	0.0316814
94.6	0.0316814
94.7	0.0316814
94.8	0.0316814
94.9	0.0316814
95	0.0316814
95.1	0.0252381
95.2	0.0252381
95.3	0.0252381
95.4	0.0252381
95.5	0.0252381
95.6	0.0252381
95.7	0.0252381
95.8	0.0252381
95.9	0.0252381
96	0.0252381
96.1	0.0184878
96.2	0.0184878
96.3	0.0184878
96.4	0.0184878
96.5	0.0184878
96.6	0.0184878
96.7	0.0184878
96.8	0.0184878
96.9	0.0184878
97	0.0184878
97.1	0.0114304
97.2	0.0114304
97.3	0.0114304
97.4	0.0114304
97.5	0.0114304
97.6	0.0114304
97.7	0.0114304
97.8	0.0114304
97.9	0.0114304
98	0.0114304
98.1	0.004066
98.2	0.004066
98.3	0.004066
98.4	0.004066
98.5	0.004066
98.6	0.004066
98.7	0.004066
98.8	0.004066
98.9	0.004066
99	0.004066
99.1	0
99.2	0
99.3	0
99.4	0
99.5	0
99.6	0
99.7	0
99.8	0
99.9	0
100	0
